model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_wind,456,2024-11-07 18:00:00,2953.75,1896.7777,-1056.9722900390625,1056.9722900390625,1117190.42191042,35.78408091529358,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,457,2024-11-07 19:00:00,2647.0,1881.2233,-765.7767333984375,765.7767333984375,586414.0054143816,28.92998615019057,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,458,2024-11-07 20:00:00,2322.0,1885.3142,-436.685791015625,436.685791015625,190694.4800749421,18.80645094805101,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,459,2024-11-07 21:00:00,1927.5,1889.9623,-37.5377197265625,37.5377197265625,1409.0804022699594,1.947482216672776,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,460,2024-11-07 22:00:00,1606.25,1888.0066,281.756591796875,281.756591796875,79386.77702099085,17.541266415260445,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,461,2024-11-07 23:00:00,1449.5,1888.673,439.1729736328125,439.1729736328125,192872.90076948705,30.29823895341723,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,462,2024-11-08 00:00:00,1533.25,1891.383,358.133056640625,358.133056640625,128259.28625875711,23.357773137993757,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,463,2024-11-08 01:00:00,1705.5,1903.5106,198.0106201171875,198.0106201171875,39208.20567919314,11.61012137883474,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,464,2024-11-08 02:00:00,1812.5,1881.221,68.720947265625,68.720947265625,4722.568593084812,3.7915005387721847,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,465,2024-11-08 03:00:00,1972.25,1885.337,-86.9129638671875,86.9129638671875,7553.86328817904,4.406792438420425,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
