datetime,actual,arimax_prediction,arimax_error,arimax_squared_error,sarimax_prediction,sarimax_error,sarimax_squared_error
2024-11-11 18:00:00,16.75,10380.876882958692,-10364.126882958692,107415126.04606704,-761.2540640277402,778.0040640277402,605290.3236436801
2024-11-11 19:00:00,15.25,9266.294728257693,-9251.044728257693,85581828.56422447,-642.1989424754512,657.4489424754512,432239.11196208914
2024-11-11 20:00:00,15.75,8424.3220885708,-8408.5720885708,70704084.5686919,-363.5074936726062,379.2574936726062,143836.24650682692
2024-11-11 21:00:00,14.0,8688.193430759944,-8674.193430759944,75241631.67423896,-106.71420295963031,120.71420295963031,14571.91879617882
2024-11-11 22:00:00,8.5,9437.958592188079,-9429.458592188079,88914689.34178959,124.1453113570904,-115.6453113570904,13373.838038878383
2024-11-11 23:00:00,9.0,10502.690070733428,-10493.690070733428,110117531.30060934,339.64848937352855,-330.64848937352855,109328.42352499643
2024-11-12 00:00:00,7.5,11834.497964560054,-11826.997964560054,139877880.85370767,426.7627108475803,-419.2627108475803,175781.22070726173
2024-11-12 01:00:00,7.0,14262.932055321522,-14255.932055321522,203231598.7659437,611.1356818407723,-604.1356818407723,364979.9220732149
2024-11-12 02:00:00,7.5,16976.122662260197,-16968.622662260197,287934155.0541703,693.1296577093763,-685.6296577093763,470088.02753067645
2024-11-12 03:00:00,7.0,19797.915449457243,-19790.915449457243,391680334.3275654,783.2779343312066,-776.2779343312066,602607.4313295251
2024-11-12 04:00:00,7.25,22853.142868436407,-22845.892868436407,521934820.9560735,822.7024794623562,-815.4524794623562,664962.7462613045
2024-11-12 05:00:00,6.25,26015.435165119823,-26009.185165119823,676477712.9534891,977.8929573851555,-971.6429573851555,944090.036636171
2024-11-12 06:00:00,65.75,28656.844707504846,-28591.094707504846,817450696.5735116,3731.2481222273664,-3665.4981222273664,13435876.484052349
2024-11-12 07:00:00,1080.0,32288.498900742736,-31208.498900742736,973970403.6376605,8955.228765377695,-7875.228765377695,62019228.10703229
2024-11-12 08:00:00,3051.25,35000.17207602551,-31948.922076025512,1020733621.8199503,14244.879131964235,-11193.629131964235,125297333.14395839
2024-11-12 09:00:00,4842.75,37460.66711544618,-32617.91711544618,1063928516.9501169,18117.240188661268,-13274.490188661268,176212089.76886427
2024-11-12 10:00:00,5969.0,38562.718582334,-32593.718582333997,1062350491.0243845,19514.1927385248,-13545.192738524798,183472246.32378492
2024-11-12 11:00:00,5996.0,38603.745364545844,-32607.745364545844,1063265057.759061,18452.977060000805,-12456.977060000805,155176277.4733863
2024-11-12 12:00:00,5058.5,36907.9056890253,-31849.405689025298,1014384642.744117,14801.622666434265,-9743.122666434265,94928439.29318514
2024-11-12 13:00:00,3194.5,34923.299754004925,-31728.799754004925,1006716733.829743,10503.371861206744,-7308.871861206744,53419607.883539736
2024-11-12 14:00:00,1218.5,32498.262813572306,-31279.762813572306,978423561.6733409,5342.570753200289,-4124.070753200289,17007959.577402
2024-11-12 15:00:00,114.5,29941.23603217164,-29826.73603217164,889634182.332846,687.1166846964735,-572.6166846964735,327889.86759278056
2024-11-12 16:00:00,30.0,27551.195719086565,-27521.195719086565,757416213.8082687,-1074.7851474144904,1104.7851474144904,1220550.2219476574
2024-11-12 17:00:00,18.5,25357.566855243407,-25339.066855243407,642068309.094495,-355.0207901890001,373.5207901890001,139517.78070341502
2024-11-12 18:00:00,9.0,23389.691782224923,-23380.691782224923,546656748.2154001,-4.52111911914983,13.52111911914983,182.82066223423908
2024-11-12 19:00:00,6.0,21536.246584896464,-21530.246584896464,463551518.0064458,146.5003119238968,-140.5003119238968,19740.337650712296
2024-11-12 20:00:00,7.25,20266.891543584876,-20259.641543584876,410453075.4745502,228.588705436201,-221.338705436201,48990.82252417335
2024-11-12 21:00:00,6.5,19998.782018218655,-19992.282018218655,399691340.295989,284.76480779892245,-278.26480779892245,77431.30325937126
2024-11-12 22:00:00,6.75,19767.718800444156,-19760.968800444156,390495887.93212736,314.75953128576384,-308.00953128576384,94869.87136287593
2024-11-12 23:00:00,7.5,19729.742716303095,-19722.242716303095,388966857.7607705,226.82935227809742,-219.32935227809742,48105.36477072976
2024-11-13 00:00:00,7.5,19943.33528360771,-19935.83528360771,397437528.4551381,8.036323074639768,-0.5363230746397676,0.2876424403910537
2024-11-13 01:00:00,7.0,21596.554185164627,-21589.554185164627,466108849.9141595,334.1379148860366,-327.1379148860366,107019.21535598372
2024-11-13 02:00:00,7.0,23016.744828144554,-23009.744828144554,529448357.0563251,309.41277898303076,-302.41277898303076,91453.48889223942
2024-11-13 03:00:00,6.75,23866.933691987302,-23860.183691987302,569308365.8153768,91.28667921240594,-84.53667921240594,7146.450132261227
2024-11-13 04:00:00,7.5,24937.84033606993,-24930.34033606993,621521869.2722753,-87.45797020136251,94.95797020136251,9017.016104762852
